#-------------
# Summary
# TF=0.001
# DM: T(decouple)~= 138.85564840463186 | T(decay)~= None | Omega h^2 (@TF) = 0.4706
# 
# Mediator: T(decouple)~= 26.696738543641114 | T(decay)~= 0.7008282896897757 | Omega h^2 (@decay) = 4.743e-34
# 
# Delta Neff (T = 0.001) = 0.00016 
#-------------
#--------------
#      x            T            R            S           n_DM        rho_DM     n_Mediator  rho_Mediator
 0.0000E+00   1.0000E+04   1.0000E+00   4.6387E+13   1.8269E+11   5.7573E+15   7.3076E+11   1.9739E+16 
 0.0000E+00   1.0000E+04   1.0000E+00   4.6387E+13   1.8269E+11   5.7573E+15   7.3076E+11   1.9739E+16 
 3.3771E-03   9.9666E+03   1.0034E+00   4.6387E+13   1.8087E+11   5.6806E+15   7.2347E+11   1.9476E+16 
 6.7543E-03   9.9332E+03   1.0068E+00   4.6387E+13   1.7906E+11   5.6048E+15   7.1623E+11   1.9216E+16 
 1.0131E-02   9.8999E+03   1.0102E+00   4.6387E+13   1.7726E+11   5.5299E+15   7.0903E+11   1.8960E+16 
 1.3509E-02   9.8665E+03   1.0136E+00   4.6387E+13   1.7547E+11   5.4558E+15   7.0188E+11   1.8705E+16 
 1.6886E-02   9.8331E+03   1.0170E+00   4.6387E+13   1.7370E+11   5.3824E+15   6.9478E+11   1.8454E+16 
 2.0263E-02   9.7997E+03   1.0205E+00   4.6387E+13   1.7193E+11   5.3099E+15   6.8773E+11   1.8205E+16 
 2.3640E-02   9.7665E+03   1.0239E+00   4.6387E+13   1.7019E+11   5.2384E+15   6.8076E+11   1.7960E+16 
 2.7017E-02   9.7339E+03   1.0274E+00   4.6387E+13   1.6849E+11   5.1686E+15   6.7396E+11   1.7721E+16 
 3.0394E-02   9.7012E+03   1.0309E+00   4.6387E+13   1.6680E+11   5.0996E+15   6.6720E+11   1.7484E+16 
 3.3771E-02   9.6686E+03   1.0343E+00   4.6387E+13   1.6512E+11   5.0314E+15   6.6050E+11   1.7251E+16 
 3.7148E-02   9.6360E+03   1.0378E+00   4.6387E+13   1.6346E+11   4.9639E+15   6.5383E+11   1.7019E+16 
 4.0526E-02   9.6034E+03   1.0414E+00   4.6387E+13   1.6180E+11   4.8971E+15   6.4722E+11   1.6790E+16 
 4.3903E-02   9.5708E+03   1.0449E+00   4.6387E+13   1.6016E+11   4.8311E+15   6.4064E+11   1.6564E+16 
 4.7280E-02   9.5384E+03   1.0484E+00   4.6387E+13   1.5854E+11   4.7662E+15   6.3417E+11   1.6341E+16 
 5.0657E-02   9.5065E+03   1.0520E+00   4.6387E+13   1.5696E+11   4.7027E+15   6.2783E+11   1.6124E+16 
 5.4034E-02   9.4747E+03   1.0555E+00   4.6387E+13   1.5538E+11   4.6399E+15   6.2154E+11   1.5908E+16 
 5.7411E-02   9.4428E+03   1.0591E+00   4.6387E+13   1.5382E+11   4.5778E+15   6.1528E+11   1.5695E+16 
 6.0788E-02   9.4109E+03   1.0627E+00   4.6387E+13   1.5227E+11   4.5164E+15   6.0907E+11   1.5485E+16 
 6.4166E-02   9.3790E+03   1.0663E+00   4.6387E+13   1.5073E+11   4.4556E+15   6.0290E+11   1.5276E+16 
 6.7543E-02   9.3471E+03   1.0699E+00   4.6387E+13   1.4919E+11   4.3955E+15   5.9678E+11   1.5070E+16 
 7.0920E-02   9.3157E+03   1.0735E+00   4.6387E+13   1.4769E+11   4.3366E+15   5.9077E+11   1.4868E+16 
 7.4297E-02   9.2845E+03   1.0771E+00   4.6387E+13   1.4621E+11   4.2788E+15   5.8486E+11   1.4670E+16 
 7.7674E-02   9.2533E+03   1.0808E+00   4.6387E+13   1.4475E+11   4.2216E+15   5.7899E+11   1.4474E+16 
 8.1051E-02   9.2222E+03   1.0844E+00   4.6387E+13   1.4329E+11   4.1651E+15   5.7316E+11   1.4280E+16 
 8.4428E-02   9.1910E+03   1.0881E+00   4.6387E+13   1.4184E+11   4.1092E+15   5.6737E+11   1.4089E+16 
 8.7805E-02   9.1599E+03   1.0918E+00   4.6387E+13   1.4041E+11   4.0538E+15   5.6162E+11   1.3899E+16 
 9.1183E-02   9.1287E+03   1.0955E+00   4.6387E+13   1.3898E+11   3.9991E+15   5.5591E+11   1.3711E+16 
 9.4560E-02   9.0981E+03   1.0992E+00   4.6387E+13   1.3758E+11   3.9456E+15   5.5033E+11   1.3528E+16 
 9.7937E-02   9.0676E+03   1.1029E+00   4.6387E+13   1.3621E+11   3.8930E+15   5.4483E+11   1.3347E+16 
 1.0131E-01   9.0372E+03   1.1066E+00   4.6387E+13   1.3484E+11   3.8410E+15   5.3936E+11   1.3169E+16 
